"8938806        ";"TONALIZANTE AMEND SUPÉRIA COLOR 600 50G                                                             ";89388;047631;01;24;2403;1870;SUPERIA;"7896852615263  ";1;0;UN;"600      ";NOR;20221223;9999999;9999999
"0446305        ";"ESMALTE IMPALA RECONECTE 75ML LINK NA BIO DIVERSIDADE                                               ";04463;000486;00;01;0105;0904;IMPALA;"7896111987384  ";1;0;UN;LINK NA B;DAG;20220430;9999999;9999999
"0197901        ";"CONDICIONADOR AMEND MILLENAR ÓLEOS EGÍPCIOS 300ML                                                   ";01979;047631;01;15;1503;0138;AMEND;"7896852618936  ";3;0;UN;O.EGIPCIO;NOR;20221210;9999999;9999999
"0473502        ";"MÁSCARA PIGMENTANTE FLAMINGO KAMALEÃO COLOR 150ML                                                   ";04735;047687;01;15;1507;1128;KAMALEAO;"7898449393561  ";1;0;UN;"FLAMINGO ";NOR;20221212;9999999;9999999
"0728101        ";"MÁSCARA DE CILIOS VOLUME LACRAÇÃO VULT FEAT LEXA 10G                                                ";07281;003903;01;04;0404;1258;LEXA;"7899852020709  ";4;0;UN;".        ";NOR;20221220;9999999;9999999
"0623601        ";"RETOK SOBRANCELHA DUO ANACONDA                                                                      ";06236;047669;01;04;0404;0146;ANACONDA;"7891239025444  ";4;0;UN;".        ";NOR;20221004;9999999;9999999
"0547402        ";"ESMALTE AMOLETO QUE DÁ SORTE COLORAMA 8ML                                                           ";05474;000013;02;01;0105;0307;COLORAMA;"7899706183338  ";6;0;UN;AMOLETO S;NOR;20221226;9999999;9999999
"8968001        ";"CARRINHO AUXILIAR SANTA CLARA 2102                                                                  ";89680;000030;00;10;1005;1829;S.CLARA;"7897169221024  ";1;0;UN;".        ";DAG;20221222;9999999;9999999
"0521108        ";"BASE BT SKIN M30 BRUNA TAVARES 40ML                                                                 ";05211;005176;01;04;0402;0264;BRUNA TAVARES;"7896032657144  ";2;0;UN;"M30      ";NOR;20221216;9999999;9999999
"0650901        ";"ELIXIR  NUTRI ÓLEOS PODEROSOS NOT SIAGE 150ML                                                       ";06509;003903;01;15;1508;1869;SIAGE;"7891033931064  ";4;0;UN;".        ";NOR;20221205;9999999;9999999
"0417302        ";"TONALIZANTE COLOR TOUCH 77/45 WELLA  60G                                                            ";04173;005168;01;24;2404;0339;COLOR TOUCH;"7891182019361  ";1;0;UN;"77.45    ";NOR;20211111;9999999;9999999
"7402801        ";"ÓLEO HIDRATANTE CORPORAL AMÊNDOA DOCE MURIEL 100ML                                                  ";74028;000145;00;05;0510;1303;MURIEL;"7896279102650  ";3;1;UN;"DOCE     ";DAG;20221223;9999999;9999999
"7654101        ";"CREME DE PENTEAR BIO EXTRATUS SILICONE TUTANO 250ML                                                 ";76541;001421;01;15;1508;0246;BIO EXTRATUS;"7898126400117  ";4;0;UN;".        ";NOR;20221226;9999999;9999999
"9133302        ";"ÁGUA OXIGENADA  BEAUTY COLOR  20 VOL  1L                                                            ";91333;000890;02;24;2406;0220;BEAUTY COLOR;"7896509911793  ";1;0;UN;"20VL     ";DAG;20221224;9999999;9999999
"0588406        ";"BASE MATTE HIDRALURONIC VULT Q060                                                                   ";05884;003903;01;04;0402;2111;VULT;"7899852016009  ";4;0;UN;"Q060     ";NOR;20221226;9999999;9999999
"8849102        ";"DESODORANTE REXONA MEN XTRACCOOL 48H 90G                                                            ";88491;000024;05;05;0501;1701;REXONA;"7791293022581  ";6;0;UN;"XTRACOOL ";DAG;20221217;9999999;9999999
"0323701        ";"SPRAY DE BRILHO HAIR GLOSS VERTIX 400ML                                                             ";03237;000887;00;15;1509;2107;VERTIX;"7897517921927  ";1;0;UN;".        ";NOR;20221104;9999999;9999999
"0713702        ";"GLOSS LABIAL MARBLE PRECIOUS TOPAZ BRUNA TAVARES 4,5ML                                              ";07137;005176;01;04;0403;0264;BRUNA TAVARES;"7896032677562  ";3;0;UN;"TOPAZ    ";NOR;20221214;9999999;9999999
"0712210        ";"BATOM VEGANO DESIREE RICOSTI                                                                        ";07122;005146;01;04;0403;1717;RICOSTI;"7898650621750  ";3;0;UN;"DESIREE  ";NOR;20220928;9999999;9999999
"9226102        ";"KIT SHAMPOO+CONDICIONADOR CURA FIOS EICO 1L                                                         ";92261;047719;01;15;1502;0513;EICO;"7898558646312  ";1;0;UN;CURA FIOS;NOR;20221111;9999999;9999999
"0071550        ";"TINTURA MAXTON 50G 2.8 PRETO TABACO                                                                 ";00715;001123;00;24;2401;1330;MAXTON;"7896013557135  ";1;1;UN;2.8P/TABA;DAG;20221224;9999999;9999999
"0079902        ";"MACRILAN CILIO M.FIO MED E LON                                                                      ";00799;005181;01;04;0401;1349;MACRILAN;"7899583203259  ";4;0;UN;"CL5-5    ";NOR;20211116;9999999;9999999
"7707101        ";"GEL REFRESCANTE DEPI-ROLL 120G                                                                      ";77071;000950;00;07;0702;0406;DEPI ROLL;"7898903925932  ";3;0;UN;".        ";DAG;20221221;9999999;9999999
"0637101        ";"CONDICIONADOR  ANTIQUEDA 300ML HANOVA                                                               ";06371;005016;01;15;1503;0819;HANOVA;"7898619854731  ";4;0;UN;".        ";NOR;20221224;9999999;9999999
"0622801        ";"CREME CLAREADOR  ANACONDA 30G .                                                                     ";06228;047669;01;04;0409;0146;ANACONDA;"7891239014868  ";4;0;UN;".        ";NOR;20220811;9999999;9999999
"0623001        ";"CREME FACIAL F15  ANACONDA 50G .                                                                    ";06230;047669;01;04;0409;0146;ANACONDA;"7891239017661  ";4;0;UN;".        ";NOR;20221027;9999999;9999999
"8622601        ";"ESPONJA PUFF BELLIZ PARA PÓ COMPACTO REF 552                                                        ";86226;000887;00;04;0401;0224;BELLIZ;"7897517905521  ";3;0;UN;".        ";NOR;20221214;9999999;9999999
"7793834        ";"TINTURA  WELLA COLOR PERFECT 9/3 60G                                                                ";77938;005168;01;24;2402;0341;COLOR PERFECT;"7891182018326  ";3;0;UN;"9.3      ";NOR;20221216;9999999;9999999
"0580201        ";"ÓLEO DE MONÓI MILLENAR OIL AMEND 110ML                                                              ";05802;047631;01;15;1510;0138;AMEND;"7896852622346  ";4;0;UN;"MONOI    ";NOR;20221222;9999999;9999999
"0671301        ";"SHAMPOO FUN LISOS BIOEXTRATUS 240ML                                                                 ";06713;001421;01;15;1501;0246;BIO EXTRATUS;"7898132983505  ";4;0;UN;".        ";NOR;20221222;9999999;9999999
"0305101        ";"SHAMPOO WELLA NUTRI ENRICH 250ML                                                                    ";03051;005168;01;15;1501;2309;WELLA;"7896235353683  ";3;0;UN;NUTRI ENR;NOR;20221226;9999999;9999999
"0297401        ";"ESCOVA NANO SILVER VERTIX REF 1483                                                                  ";02974;000887;00;22;2201;2107;VERTIX;"7897517914837  ";1;0;UN;"1483     ";NOR;20221028;9999999;9999999
"7381701        ";"PROTETOR DESCARTÁVEL PARA BACIA MANICURE 165 SANTA CLARA                                            ";73817;000030;00;01;0101;1829;S.CLARA;"7897169201651  ";3;0;PC;".        ";DAG;20221224;9999999;9999999
"0277501        ";"SHAMPOO LOLA ONDULADOS 500ML                                                                        ";02775;005069;01;15;1501;1238;LOLA;"7899572809981  ";1;0;UN;".        ";DAG;20221221;9999999;9999999
"0498801        ";"SECADOR ATOMIC ION  L3300 R5009 VERTIX 2200W                                                        ";04988;000887;00;11;1101;2107;VERTIX;"7897517950095  ";1;0;UN;"L3300    ";NOR;20221130;9999999;9999999
"0593424        ";"TIINTURA PROFISSIONAL COLOR NANO INFUSION 8.66 YAMÁ 60G                                             ";05934;000477;01;24;2402;2407;YAMA PROF COLOR;"7896150024088  ";1;0;UN;"8.66     ";DAG;20221222;9999999;9999999
"0498901        ";"SECADOR PROFISSIONAL ATOMIC ÍON L400 VERTIX 2400                                                    ";04989;000887;00;11;1101;2107;VERTIX;"7897517950101  ";1;0;UN;"L4000    ";NOR;20221226;9999999;9999999
"0256901        ";"CONDICIONADOR LOLA COMIGO NINGUEM PODE 450G                                                         ";02569;005069;01;15;1503;1238;LOLA;"7899572809882  ";1;0;UN;"CO WASH  ";DAG;20221216;9999999;9999999
"0739503        ";"CORRETIVO LIQUIDO MILLA MAKEUP COR 04                                                               ";07395;047714;01;04;0402;1376;MILLA;"7898658873540  ";4;0;UN;"COR 04   ";NOR;20221212;9999999;9999999
"0705305        ";"BASE LÍQUIDA NANO HD VULT 34G V250                                                                  ";07053;003903;01;04;0402;2111;VULT;"7899852019376  ";4;0;UN;"V250     ";NOR;20221224;9999999;9999999
"0568901        ";"SHAMPOO EM BARRA LISOS LOLA 90G                                                                     ";05689;005069;01;15;1501;1238;LOLA;"7899572811588  ";2;0;UN;".        ";DAG;20221130;9999999;9999999
"0525503        ";"BANHO DE BRILHO FLAMINGO KAMALEÃO COLOR 1L                                                          ";05255;047687;01;15;1507;1128;KAMALEAO;"7898962932339  ";1;0;UN;"FLAMINGO ";NOR;20221117;9999999;9999999
"9528101        ";"MODELADOR TAIFF CURVES 1/4  210                                                                    ";95281;000432;00;11;1103;1906;TAIFF;"7896116114044  ";1;0;UN;".        ";DAG;20221221;9999999;9999999
"9334301        ";"NAVALHETE AÇO VERTIX REF 1922                                                                       ";93343;000887;00;25;2502;2107;VERTIX;"7897517919221  ";1;0;UN;".        ";NOR;20221107;9999999;9999999
"7614901        ";"LIXA PARA UNHAS GI COM 100 UNIDADES REF82 .                                                         ";76149;005457;01;01;0101;0705;GI DESCARTAVEIS;"7898910761820  ";3;0;UN;".        ";NOR;20221223;9999999;9999999
"9377307        ";"CERA DEPILATÓRIA NEGRA DPELL  600G                                                                  ";93773;047648;01;07;0703;0454;D'PEEL;"7898945785358  ";1;0;UN;"NEGRA    ";NOR;20221122;9999999;9999999
"9249501        ";"ESCOVA DESEMBARAÇANTE COM PORTA ACESSÓRIOS MARCO BONI REF 7315                                      ";92495;000092;00;22;2201;1336;M.BONI;"7896025523920  ";1;0;UN;".        ";NOR;20211004;9999999;9999999
"0399301        ";"ESCOVA SNAKE DESEMBARAÇANTE RAQUETE MARCO BONI REF 7397                                             ";03993;000092;00;22;2201;1336;M.BONI;"7896025532656  ";1;0;UN;".        ";NOR;20211109;9999999;9999999
"0688705        ";"MÁSCARA  PIGMENTANE TREND MASK MARSALA BADROCK 150ML                                                ";06887;005016;01;15;1507;0819;HANOVA;"7898619855196  ";4;0;UN;"MARSALA  ";NOR;20221226;9999999;9999999
"0196201        ";"ESCOVA DE CABELO RICCA RETA BLACK & PINK REF 2410                                                   ";01962;000887;00;22;2201;1704;RICCA;"7897517924102  ";2;0;UN;".        ";NOR;20221216;9999999;9999999
"0293301        ";"MEDIDOR APLICADOR HENNA THAUXI                                                                      ";02933;047655;01;04;0406;1940;THAUXI;"7898610073865  ";1;0;UN;".        ";NOR;20221222;9999999;9999999
"0705604        ";"ESMALTE CREMOSO IZA BRIZA RISQUE 8ML                                                                ";07056;002559;01;01;0105;1702;RISQUE;"7891350039061  ";12;0;UN;"BR.IZA   ";DAG;20221221;9999999;9999999
"0715601        ";"ESMALTE GLITTER COLEÇÃO AVISA QUE É ELA ENTREGANDO TUDO HASKELL 8ML                                 ";07156;005146;01;01;0105;0827;HASKELL;"7898664976334  ";6;0;UN;ENTREGAND;NOR;20221216;9999999;9999999
"7403404        ";"CONDICIONADOR ALYNE ARGAN 2L                                                                        ";74034;000349;00;15;1504;0102;ALYNE;"7897161310252  ";2;1;UN;"ARGAN    ";NOR;20221212;9999999;9999999
"9521227        ";"ESMALTE VULT CINEMA 8ML                                                                             ";95212;003903;01;01;0105;2111;VULT;"7899852003474  ";6;0;UN;"CINEMA   ";NOR;20221116;9999999;9999999
"0623902        ";"RETOK HAIR SPY CASTANHO CLARO  ANACONDA 50ML                                                        ";06239;047669;01;24;2405;0146;ANACONDA;"7891239023556  ";4;0;UN;"CAST CLA ";NOR;20221213;9999999;9999999
